id,nameKR,nameVN,province,address,region,holes,rating,priceVND,oldPriceVND,discountPercent,facilities,descriptionKR,descriptionVN,gallery,lat,lng,teeTimes,ownerId
brg-da-nang,BRG 다낭 골프 리조트,BRG Da Nang Golf Resort,Đà Nẵng,"Hoa Hai Ward, Ngu Hanh Son, Da Nang",Central,36,4.5,2700000,3100000,13,Driving Range|Pro Shop|Restaurant|Hotel|Caddie,니클라우스와 노먼이 디자인한 36홀,36 hố do Nicklaus và Norman thiết kế,,16.012,108.262,06:00|06:30|07:00|07:30|08:00|09:00|10:00|13:00|14:00,owner-central
vinpearl-nam-hoi-an,빈펄 남호이안 골프,Vinpearl Golf Nam Hoi An,Quảng Nam,"Thang Binh District, Quang Nam",Central,18,4.4,2600000,2900000,10,Driving Range|Pro Shop|Restaurant|Hotel|Caddie,바다와 어우러진 리조트 코스,Sân golf bên bờ biển Hội An,,15.748,108.466,06:00|06:30|07:00|08:00|09:00|13:00|14:00,owner-central
flc-quy-nhon,FLC 퀴논 골프 링크스,FLC Quy Nhon Golf Links,Bình Định,"Nhon Ly, Quy Nhon City",Central,36,4.5,2400000,2800000,14,Driving Range|Pro Shop|Restaurant|Hotel|Caddie,그렉 노먼이 디자인한 링크스,Sân links do Greg Norman thiết kế,,14.038,109.213,06:00|06:30|07:00|07:30|08:00|09:00|13:00|14:00,owner-central
sea-links-phan-thiet,씨링크스 판티엣 골프,Sea Links Golf & Country Club,Bình Thuận,"Phan Thiet, Binh Thuan",Central,18,4.3,2200000,2500000,12,Driving Range|Pro Shop|Restaurant|Hotel|Caddie,남중국해를 마주한 18홀 링크스,Sân links 18 hố nhìn ra biển Đông,,10.926,108.276,06:00|07:00|08:00|09:00|13:00|14:00,owner-central
long-thanh,롱탄 골프 클럽,Long Thanh Golf Club,Đồng Nai,"Long Thanh District, Dong Nai",South,36,4.3,2100000,2400000,12,Driving Range|Pro Shop|Restaurant|Caddie,호치민에서 가까운 36홀 명문,Sân 36 hố gần Sài Gòn,,10.811,106.953,06:00|06:30|07:00|07:30|08:00|09:00|10:00|13:00|14:00,owner-south
twin-doves,트윈 도브스 골프 클럽,Twin Doves Golf Club,Bình Dương,"Thuan An City, Binh Duong",South,27,4.4,2300000,2600000,11,Driving Range|Pro Shop|Restaurant|Caddie|Buggy,사이공 인근 27홀 회원제,Sân 27 hố gần Sài Gòn,,10.954,106.701,06:00|07:00|08:00|09:00|13:00|14:00,owner-south
the-bluffs,더 블러프스 호트람,The Bluffs Ho Tram Strip,Bà Rịa-Vũng Tàu,"Xuyen Moc, Ba Ria - Vung Tau",South,18,4.8,3500000,4000000,12,Driving Range|Pro Shop|Restaurant|Spa|Hotel|Caddie,그렉 노먼이 직접 디자인한 시그니처 코스,Sân ven biển do Greg Norman thiết kế,,10.471,107.475,06:00|06:30|07:00|07:30|08:00|09:00|10:00|13:00|14:00,owner-south
vinpearl-nha-trang,빈펄 골프 나트랑,Vinpearl Golf Nha Trang,Khánh Hòa,"Hon Tre Island, Nha Trang",South,18,4.5,2500000,2800000,11,Driving Range|Pro Shop|Restaurant|Hotel|Caddie,혼째섬에 위치한 리조트 코스,Sân golf trên đảo Hòn Tre,,12.198,109.275,06:00|06:30|07:00|08:00|09:00|13:00|14:00,owner-south
kn-golf-links,KN 골프 링크스 캄란,KN Golf Links Cam Ranh,Khánh Hòa,"Cam Lam District, Khanh Hoa",South,27,4.7,3100000,3500000,11,Driving Range|Pro Shop|Restaurant|Spa|Hotel|Caddie,그렉 노먼 디자인 27홀 링크스,Sân links 27 hố do Greg Norman thiết kế,,11.917,109.227,06:00|06:30|07:00|07:30|08:00|09:00|13:00|14:00,owner-south
diamond-bay-nha-trang,다이아몬드 베이 골프,Diamond Bay Golf Resort,Khánh Hòa,"Nha Trang, Khanh Hoa",South,18,4.4,2400000,2700000,11,Driving Range|Pro Shop|Restaurant|Hotel|Caddie,냐짱 시내 리조트 18홀,Sân golf resort tại Nha Trang,,12.236,109.181,06:00|07:00|08:00|09:00|13:00|14:00,owner-south
vinpearl-phu-quoc,빈펄 골프 푸꾸옥,Vinpearl Golf Phu Quoc,Kiên Giang,"Bai Dai, Phu Quoc",South,27,4.6,2700000,3000000,10,Driving Range|Pro Shop|Restaurant|Hotel|Caddie,푸꾸옥섬 27홀 챔피언십 코스,Sân golf 27 hố trên đảo Phú Quốc,,10.366,103.870,06:00|06:30|07:00|08:00|09:00|13:00|14:00,owner-south
sam-tuyen-lam,삼 뚜옌람 골프 리조트,SAM Tuyen Lam Golf Resort,Lâm Đồng,"Da Lat, Lam Dong",South,18,4.5,2300000,2600000,11,Driving Range|Pro Shop|Restaurant|Hotel|Caddie,달랏 고산지대 18홀,Sân golf cao nguyên Đà Lạt,,11.901,108.413,06:00|07:00|08:00|09:00|13:00|14:00,owner-south
